Step T Etot StepSize Error SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
23 1671.928974623725 -6.396671445822675e+22 110.34799024254256 0.39373017253940584 -0.006328823784614151 -0.00042386748928885897 0.00018880213920645475 4.669147802363641 1.6254299741427087 -0.11128574911104287 7.417660963728184 -6.536068752538485 -0.17893128026279712 -0.08300128489255781 -19.29382948297804 -0.07086991237100299 -3.750816703238604 29.669254591301463 -0.5247760092236244 -3.229983204440418 -4.299041281784435 0.07272517663933203 
24 1791.5939891357848 -6.396671456042633e+22 119.66501451205983 0.5467951646296416 -0.006068009378407864 -0.0013938048025210093 0.00019070213307767727 4.2825954397476576 2.4872231678872034 -0.10611773953870325 7.805066325014935 -6.0227878918192825 -0.2033299998389389 0.38405762059529075 -19.31204258379666 -0.0770109813165662 -4.12540849573077 29.622220348424225 -0.5151983432852526 -2.762308203914273 -4.833916083803685 -0.2259999388467665 
25 1913.1131534352246 -6.396671444484778e+22 121.51916429943971 0.32411460484047866 -0.005648162935670716 -0.002302551548063847 0.0001887692058112384 3.7382166211328283 3.274093639631877 -0.09710528790791093 8.163175472413387 -5.47433751198883 -0.2271865956345035 0.8581214438443545 -19.318906230394216 -0.08320079286981684 -4.505135039441665 29.56965315125763 -0.5053887198959313 -2.217963188091322 -5.255767346383681 -0.5237507702076365 
26 2050.1216697752784 -6.396671452456883e+22 137.00851634005386 0.5122636112782313 -0.005011615773736455 -0.003202407261083728 0.0001823077603940568 2.966968993212245 4.021265055552776 -0.08284279049462567 8.521828501861128 -4.825929588929726 -0.25282523498102794 1.391975226872229 -19.31263216125871 -0.0901190331714769 -4.932377153852442 29.50459170411117 -0.49422975994929647 -1.543015837158893 -5.5846772137875105 -0.8446143149943238 
27 2191.0802028472935 -6.396671410228603e+22 140.95853307201494 0.6536820239028652 -0.00421126357158708 -0.003959877995499284 0.00017155942088961093 2.036826566178584 4.604372177383361 -0.06434928016966525 8.838269129037435 -4.129137950864117 -0.2776426316517391 1.940104162071667 -19.29073926159909 -0.09716461991841431 -5.370867000213412 29.43126093119744 -0.48264199308999567 -0.8040904795670447 -5.761532551925236 -1.15027438072681 
28 2329.2014758783826 -6.396671306829264e+22 138.12127303108912 0.7174495447422529 -0.0033246762840623283 -0.004514784434540264 0.0001577918252328436 1.034418714407013 4.97155498615186 -0.043356934549795764 9.094138983754034 -3.421039286845769 -0.3002580329398259 2.4756837895241146 -19.254174300997832 -0.10399228860738499 -5.799386596476777 29.35313336326245 -0.47118457220211846 -0.057863212825472465 -5.776981115689911 -1.4183242026298843 
29 2462.046352273057 -6.39667118700294e+22 132.8448763946742 0.7951913888539713 -0.0024161847413390345 -0.0048627243684747695 0.00014235245443021158 0.027669378753646612 5.123812771070634 -0.02139327268429067 9.287542446048377 -2.7201354731664753 -0.3202704333219628 2.9890048488440035 -19.204972776593955 -0.11048338452519717 -6.210383334216294 29.272149645161797 -0.4600710397187855 0.6614912542933578 -5.645444867753976 -1.6402457769940393 
30 2573.8509348924713 -6.396671128182487e+22 111.80458261941429 0.5890107138310309 -0.0016372484590746425 -0.005012762134648395 0.00012829365451314987 -0.8222453440839274 5.098434010056039 -0.002225218651283719 9.408981687186474 -2.117978550770478 -0.3356907416132958 3.419390631931454 -19.15296298161462 -0.11588560324004235 -6.555349969663395 29.19956699197582 -0.4506480492612228 1.2546215337486446 -5.424200791190336 -1.7951248116589174 
31 2685.711620081355 -6.396671071946448e+22 111.8606851888836 0.5823745444292828 -0.0008676845062241635 -0.005035309929537557 0.00011376501913957674 -1.6507230731761746 4.936564945844658 0.017017138779569497 9.491725145100398 -1.5068138368441648 -0.34973572258790303 3.848272175221441 -19.09128926975585 -0.12123220684737229 -6.899583677677368 29.12291180912983 -0.44115802455314096 1.8246928966742222 -5.102410581908119 -1.9167822609812006 
32 2797.882340180987 -6.396671018934655e+22 112.17072009963204 0.32864801629258916 -0.0001258685154751876 -0.0049361681257857545 9.919432262555813e-05 -2.4382725712712667 4.644588002504502 0.03587069105880934 9.535016771476943 -0.887676986723711 -0.36235713352850674 4.276403601998859 -19.019824434537327 -0.12653252686975974 -7.243813935117162 29.04200192875228 -0.431580449125729 2.3603948041934286 -4.679735650820602 -2.0011242188016722 
