Step T Etot SunX SunY SunZ JupiterX JupiterY JupiterZ SaturnX SaturnY SaturnZ UranusX UranusY UranusZ NeptuneX NeptuneY NeptuneZ 67P/C-GX 67P/C-GY 67P/C-GZ 
240 4320 -5.211905327561302e+22 0.005246840978709906 -0.003409106725001839 -1.4292812250003134e-05 -7.169036066591846 0.6923299233091131 0.1580721209912353 6.675531393483501 6.780052427498896 -0.38404233313375485 9.807211906439028 -17.174977128372454 -0.19156402246636547 -11.801282291597563 27.564252938960724 -0.2964038589815049 0.5584900620673068 -10.36897596431346 -2.7764296295594373 
250 4500 -5.190998116690249e+22 0.005519276138524722 -0.0025656465739942276 -2.5363784833663835e-05 -7.216514109924036 -0.40278503543518274 0.16359229716328338 5.901677531821434 7.455991224641646 -0.3652661171402856 10.412366767439508 -16.848065393650586 -0.19821285997801585 -12.322423795052861 27.341189530499403 -0.27983270430187135 1.190140321455697 -10.190896055071466 -2.9555815274742123 
260 4680 -5.170234629704975e+22 0.005636599738487245 -0.0017060878804465694 -3.367654440117792e-05 -7.081232945203604 -1.4905761484670927 0.16498324468062042 5.061356968517576 8.049711160867263 -0.3424057257302307 11.004731550813842 -16.500292610564735 -0.20461754796426324 -12.839200271672913 27.108391373722036 -0.2631614010920212 1.8129197185148818 -9.932482467711981 -3.11160243714961 
270 4860 -5.14943675254296e+22 0.005599740873265131 -0.0008547059285669127 -3.913324511613782e-05 -6.766911630089967 -2.5435741766693094 0.1622165893033221 4.163809943516572 8.554473671502093 -0.3157087254771881 11.583629222558194 -16.13217185171305 -0.2107711960117403 -13.351429836412574 26.865946230669742 -0.24639593763432166 2.421480502237516 -9.593283533599925 -3.2424891931484217 
280 5040 -5.128434613676036e+22 0.005412610595736557 -3.549959388617454e-05 -4.169597317996325e-05 -6.280615600545978 -3.534940411342962 0.15534157020704017 3.2190160527400913 8.96468113426141 -0.2854721331030908 12.148403419336198 -15.744235169589796 -0.2166672519471645 -13.8589323920522 26.613945137927374 -0.22954232696087523 3.010024567686881 -9.17259304545611 -3.3460160714488842 
290 5220 -5.107063614130121e+22 0.00508221494887226 0.0007279653528288033 -4.139035513735589e-05 -5.632826464099102 -4.4386590224766795 0.14448738870117203 2.2375318186642494 9.275970861352889 -0.2520376346574164 12.698418723257515 -15.33703275666859 -0.2222995021802195 -14.36152970977381 26.352482370888477 -0.21260660449042332 3.572111506503398 -8.669474945889025 -3.4196729048408043 
300 5400 -5.085162924394525e+22 0.004618825431751387 0.0014128041631202828 -3.83110044428232e-05 -4.837567736928189 -5.229816567997179 0.12986716658681488 1.230314142774402 9.485281005464643 -0.2157857484742197 13.233060902320624 -14.911132114454384 -0.2276620717383083 -14.859045507803387 26.08165541146945 -0.19559482579327747 4.100419424338041 -8.08280476678712 -3.4605906017404666 
310 5580 -5.062575809308191e+22 0.004036175669652125 0.0019971815919962426 -3.262820542099165e-05 -3.912555584851767 -5.884998684921922 0.11178294247090877 0.20853558177587142 9.590885973984374 -0.17712912505137812 13.751737118194809 -14.467117229880651 -0.23274942406043986 -15.351305528484412 25.801564918052225 -0.1785130644399707 4.586436759513814 -7.411341575044022 -3.4654497635487465 
320 5760 -5.03915228891373e+22 0.003351641995222876 0.002460826152495489 -2.459496101614116e-05 -2.8793321596909527 -6.382830102104167 0.09063086135295922 -0.8166022038736112 9.592400442280459 -0.13650521953969394 14.253876104200843 -14.005587756612577 -0.23755636065331065 -15.838137614076231 25.512314697053498 -0.16136740991649784 5.02005431248373 -6.653854494229067 -3.430367464660012 
330 5940 -5.01475474007677e+22 0.002586351911464707 0.002785706833870988 -1.455318208814051e-05 -1.7633247249967103 -6.7046756507413585 0.06690535545077586 -1.8340505017966315 9.490752600599338 -0.09436859894039426 14.738928318761902 -13.527158197997846 -0.24207802076953983 -16.319371781295335 25.214011675902054 -0.14416396561018785 5.389013379645233 -5.809346783253301 -3.350757260117393 
