            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2415980.500000000, A.D. 1902-Aug-19 00:00:00.0000,  3.566270954436922E+00, -3.585379339563775E+00, -6.538982404201493E-02,
2415990.500000000, A.D. 1902-Aug-29 00:00:00.0000,  3.618474047813546E+00, -3.528215613833822E+00, -6.679288861278863E-02,
2416000.500000000, A.D. 1902-Sep-08 00:00:00.0000,  3.669852935580846E+00, -3.470246894223014E+00, -6.818068553858807E-02,
2416010.500000000, A.D. 1902-Sep-18 00:00:00.0000,  3.720387130567892E+00, -3.411482755080708E+00, -6.955288750082957E-02,
2416020.500000000, A.D. 1902-Sep-28 00:00:00.0000,  3.770072336823940E+00, -3.351936663072111E+00, -7.090909943015400E-02,
2416030.500000000, A.D. 1902-Oct-08 00:00:00.0000,  3.818889032698367E+00, -3.291620366106167E+00, -7.224902192863222E-02,
2416040.500000000, A.D. 1902-Oct-18 00:00:00.0000,  3.866826677438306E+00, -3.230546288413669E+00, -7.357231350963553E-02,
2416050.500000000, A.D. 1902-Oct-28 00:00:00.0000,  3.913875115100256E+00, -3.168728268467929E+00, -7.487862989601299E-02,
2416060.500000000, A.D. 1902-Nov-07 00:00:00.0000,  3.960015618037963E+00, -3.106177211047271E+00, -7.616765059095473E-02,
2416070.500000000, A.D. 1902-Nov-17 00:00:00.0000,  4.005243690381006E+00, -3.042908613163561E+00, -7.743904323101715E-02,
2416080.500000000, A.D. 1902-Nov-27 00:00:00.0000,  4.049541037460775E+00, -2.978933958882875E+00, -7.869246699710822E-02,
2416090.500000000, A.D. 1902-Dec-07 00:00:00.0000,  4.092898771564751E+00, -2.914267628932557E+00, -7.992761461960772E-02,
2416100.500000000, A.D. 1902-Dec-17 00:00:00.0000,  4.135306760285504E+00, -2.848925098668527E+00, -8.114418999950591E-02,
2416110.500000000, A.D. 1902-Dec-27 00:00:00.0000,  4.176747596282095E+00, -2.782917092716620E+00, -8.234183859913261E-02,
2416120.500000000, A.D. 1903-Jan-06 00:00:00.0000,  4.217218206173282E+00, -2.716261461861151E+00, -8.352028490358326E-02,
2416130.500000000, A.D. 1903-Jan-16 00:00:00.0000,  4.256700442584325E+00, -2.648970420364233E+00, -8.467920672792882E-02,
2416140.500000000, A.D. 1903-Jan-26 00:00:00.0000,  4.295187006070369E+00, -2.581058597819335E+00, -8.581827786211070E-02,
2416150.500000000, A.D. 1903-Feb-05 00:00:00.0000,  4.332669325738817E+00, -2.512543794659388E+00, -8.693725884599232E-02,
2416160.500000000, A.D. 1903-Feb-15 00:00:00.0000,  4.369130062495170E+00, -2.443437208962421E+00, -8.803581119671441E-02,
2416170.500000000, A.D. 1903-Feb-25 00:00:00.0000,  4.404567894578211E+00, -2.373757417136823E+00, -8.911366017261070E-02,
2416180.500000000, A.D. 1903-Mar-07 00:00:00.0000,  4.438966062192748E+00, -2.303518408211140E+00, -9.017052885021389E-02,
2416190.500000000, A.D. 1903-Mar-17 00:00:00.0000,  4.472317394776733E+00, -2.232735234189259E+00, -9.120610872150828E-02,
2416200.500000000, A.D. 1903-Mar-27 00:00:00.0000,  4.504615656195646E+00, -2.161426458297960E+00, -9.222015666305969E-02,
2416210.500000000, A.D. 1903-Apr-06 00:00:00.0000,  4.535844558499685E+00, -2.089605036623376E+00, -9.321238900062193E-02,
2416220.500000000, A.D. 1903-Apr-16 00:00:00.0000,  4.566003048174640E+00, -2.017290086309844E+00, -9.418255580754319E-02,
2416230.500000000, A.D. 1903-Apr-26 00:00:00.0000,  4.595076858225983E+00, -1.944496079158613E+00, -9.513037034807552E-02,
