            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2415520.500000000, A.D. 1901-May-16 00:00:00.0000,  1.115593935826468E+00,  2.775047170513259E+00,  2.925094661904874E-01, -1.030513634224402E-02,  2.531607888672887E-03,  4.280864334038381E-03,
2415530.500000000, A.D. 1901-May-26 00:00:00.0000,  1.011946938002851E+00,  2.798834813475701E+00,  3.351492337797486E-01, -1.042256084905268E-02,  2.224957850445561E-03,  4.246246158532439E-03,
2415540.500000000, A.D. 1901-Jun-05 00:00:00.0000,  9.071775345501442E-01,  2.819528027297102E+00,  3.774174944928005E-01, -1.052954175586179E-02,  1.912819134191845E-03,  4.206560262394759E-03,
2415550.500000000, A.D. 1901-Jun-15 00:00:00.0000,  8.013923748399110E-01,  2.837074905310843E+00,  4.192635276879885E-01, -1.062564234763779E-02,  1.595794443382997E-03,  4.161801733397914E-03,
2415560.500000000, A.D. 1901-Jun-25 00:00:00.0000,  6.947022887565073E-01,  2.851429762518412E+00,  4.606366781813348E-01, -1.071046401327686E-02,  1.274524808409716E-03,  4.111988700361919E-03,
2415570.500000000, A.D. 1901-Jul-05 00:00:00.0000,  5.872218828875526E-01,  2.862553499841627E+00,  5.014865899757988E-01, -1.078365074420118E-02,  9.496856821248326E-04,  4.057162952822904E-03,
2415580.500000000, A.D. 1901-Jul-15 00:00:00.0000,  4.790690935500624E-01,  2.870413926371171E+00,  5.417634448260127E-01, -1.084489325308252E-02,  6.219824512535526E-04,  3.997390284723834E-03,
2415590.500000000, A.D. 1901-Jul-25 00:00:00.0000,  3.703647009019498E-01,  2.874986034026755E+00,  5.814182027751308E-01, -1.089393262405557E-02,  2.921454178588589E-04,  3.932760542401229E-03,
2415600.500000000, A.D. 1901-Aug-04 00:00:00.0000,  2.612318092302713E-01,  2.876252219678665E+00,  6.204028416379845E-01, -1.093056341454054E-02, -3.907567613177102E-05,  3.863387364499427E-03,
2415610.500000000, A.D. 1901-Aug-14 00:00:00.0000,  1.517952992611239E-01,  2.874202450601859E+00,  6.586705923243760E-01, -1.095463613825380E-02, -3.709174902247055E-04,  3.789407610340573E-03,
2415620.500000000, A.D. 1901-Aug-24 00:00:00.0000,  4.218125899494103E-02,  2.868834370131914E+00,  6.961761669107944E-01, -1.096605906689426E-02, -7.026091855612159E-04,  3.710980482697440E-03,
2415630.500000000, A.D. 1901-Sep-03 00:00:00.0000, -6.748359984580415E-02,  2.860153341433181E+00,  7.328759764412199E-01, -1.096479930132070E-02, -1.033378687709093E-03,  3.628286351993663E-03,
2415640.500000000, A.D. 1901-Sep-13 00:00:00.0000, -1.770725323852147E-01,  2.848172428277454E+00,  7.687283355486305E-01, -1.095088310261403E-02, -1.362458997233874E-03,  3.541525302015245E-03,
2415650.500000000, A.D. 1901-Sep-23 00:00:00.0000, -2.864593506962954E-01,  2.832912313066939E+00,  8.036936512845224E-01, -1.092439546471222E-02, -1.689094412220966E-03,  3.450915430147456E-03,
2415660.500000000, A.D. 1901-Oct-03 00:00:00.0000, -3.955190058517251E-01,  2.814401153475588E+00,  8.377345938290010E-01, -1.088547893658584E-02, -2.012546565280826E-03,  3.356690928553423E-03,
2415670.500000000, A.D. 1901-Oct-13 00:00:00.0000, -5.041281545924640E-01,  2.792674380097779E+00,  8.708162470725217E-01, -1.083433173033863E-02, -2.332100166850492E-03,  3.259099984296994E-03,
